=== SYSTEM RECON REPORT ===
Generated on: 2026-02-02 11:14:02.897926

Operating System: Windows 11
Hostname: Thinesh
IP Address: 10.130.8.32

=== Running Processes ===

Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        132 K
Secure System                  236 Services                   0     66,596 K
Registry                       280 Services                   0     50,816 K
smss.exe                       828 Services                   0        716 K
csrss.exe                     1032 Services                   0      3,100 K
wininit.exe                   1140 Services                   0      3,708 K
services.exe                  1264 Services                   0      7,504 K
LsaIso.exe                    1304 Services                   0      1,720 K
lsass.exe                     1316 Services                   0     25,860 K
svchost.exe                   1440 Services                   0     29,772 K
fontdrvhost.exe               1452 Services                   0        628 K
svchost.exe                   1568 Services                   0     15,304 K
svchost.exe                   1624 Services                   0      8,916 K
svchost.exe                   1796 Services                   0      1,432 K
svchost.exe                   1804 Services                   0      5,320 K
svchost.exe                   1988 Services                   0      6,344 K
svchost.exe                   2040 Services                   0     10,956 K
svchost.exe                    940 Services                   0      2,512 K
svchost.exe                   1136 Services                   0      5,712 K
svchost.exe                   1372 Services                   0      4,900 K
IntelCpHDCPSvc.exe            1324 Services                   0      1,472 K
svchost.exe                    976 Services                   0      2,372 K
svchost.exe                   2172 Services                   0     13,444 K
svchost.exe                   2192 Services                   0      6,452 K
svchost.exe                   2292 Services                   0      7,568 K
svchost.exe                   2328 Services                   0      4,792 K
svchost.exe                   2520 Services                   0     12,808 K
svchost.exe                   2696 Services                   0      4,796 K
svchost.exe                   2864 Services                   0      6,548 K
svchost.exe                   2952 Services                   0      5,036 K
NVDisplay.Container.exe       2404 Services                   0     23,244 K
svchost.exe                   3132 Services                   0     15,380 K
svchost.exe                   3176 Services                   0     18,476 K
svchost.exe                   3184 Services                   0      4,972 K
svchost.exe                   3192 Services                   0      1,840 K
Memory Compression            3296 Services                   0    436,112 K
svchost.exe                   3348 Services                   0      6,148 K
svchost.exe                   3392 Services                   0      5,320 K
svchost.exe                   3400 Services                   0      5,716 K
WUDFHost.exe                  3500 Services                   0      2,480 K
svchost.exe                   3560 Services                   0     11,628 K
svchost.exe                   3596 Services                   0      4,276 K
svchost.exe                   3720 Services                   0     33,204 K
svchost.exe                   3828 Services                   0      4,840 K
svchost.exe                   3472 Services                   0      3,268 K
svchost.exe                   3168 Services                   0     20,852 K
svchost.exe                   4324 Services                   0      1,804 K
WUDFHost.exe                  4360 Services                   0      9,432 K
svchost.exe                   4420 Services                   0     11,268 K
svchost.exe                   4428 Services                   0     14,612 K
svchost.exe                   4480 Services                   0      9,044 K
WUDFHost.exe                  4612 Services                   0      6,944 K
svchost.exe                   4632 Services                   0      1,480 K
spoolsv.exe                   4844 Services                   0     12,368 K
svchost.exe                   4980 Services                   0      5,572 K
svchost.exe                   5092 Services                   0      3,172 K
svchost.exe                   5124 Services                   0     39,040 K
svchost.exe                   5144 Services                   0      2,836 K
svchost.exe                   5152 Services                   0     31,476 K
OneApp.IGCC.WinService.ex     5160 Services                   0      9,860 K
IntelAudioService.exe         5172 Services                   0      5,988 K
svchost.exe                   5180 Services                   0      2,848 K
svchost.exe                   5196 Services                   0     16,408 K
svchost.exe                   5204 Services                   0      6,272 K
jhi_service.exe               5228 Services                   0      1,016 K
ipfsvc.exe                    5240 Services                   0      2,140 K
LightKeeperService.exe        5256 Services                   0      4,788 K
MSIService.exe                5300 Services                   0      1,624 K
MpDefenderCoreService.exe     5312 Services                   0     14,820 K
MSIAPService.exe              5344 Services                   0      9,560 K
Sendevsvc.exe                 5384 Services                   0     20,880 K
Mystic_Light_Service.exe      5396 Services                   0      6,284 K
MSI_Central_Service.exe       5408 Services                   0      3,148 K
NahimicService.exe            5416 Services                   0     21,800 K
ipf_uf.exe                    5444 Services                   0      3,664 K
svchost.exe                   5456 Services                   0     18,576 K
nvcontainer.exe               5464 Services                   0     26,092 K
RstMwService.exe              5504 Services                   0      2,280 K
RtkAudUService64.exe          5564 Services                   0      6,812 K
svchost.exe                   5600 Services                   0      3,636 K
svchost.exe                   5688 Services                   0      1,736 K
